isbn	douban_id	blog_link	title_zh	subtitle_zh	title	author	publisher	published_date	pages	purchasing_date	begin_reading_date	finish_reading_date	douban_rating	rating	auto_update	show	updated_date
9787559614452	27624439	NA	如何写影评（插图修订第8版）	NA	A short guide to writing about film,8e	[美] 蒂莫西·科里根（Timothy J. Corrigan）	后浪丨北京联合出版社	2018-7	216	2018-12-27	NA	NA	7.7	NA	1	1	2020-01-24
9787532774685	27002046	NA	美丽新世界	NA	BRAVE NEW WORLD, BRAVE NEW WORLD REVISITED	[英] 赫胥黎	上海译文出版社	2017-6	360	2018-12-27	NA	NA	9.1	NA	1	1	2020-01-24
9787559614636	27614904	NA	房思琪的初恋乐园	NA	NA	林奕含	北京联合出版公司	2018-1	272	2018-12-27	NA	NA	9.2	NA	1	1	2020-01-24
9787559413727	27193117	NA	我们一无所有	NA	The Tsar of Love and Techno	[美] 安东尼·马拉	江苏凤凰文艺出版社	2018-2	332	2018-12-27	NA	NA	8.6	NA	1	1	2020-01-24
9787532773862	26879595	NA	我们	NA	We	[俄] 叶甫盖尼·扎米亚京	上海译文出版社	2017-1	274	2018-12-27	NA	NA	7.6	NA	1	1	2020-01-24
9787208128156	26324832	NA	西线无战事	NA	Im Westen nichts Neues	[德] 埃里希·玛丽亚·雷马克	上海人民出版社	2017-6	200	2018-12-27	NA	NA	9	NA	1	1	2020-01-24
9787567603530	1883349	NA	永别了，武器	NA	A Farewell To Arms	[美] 欧内斯特·海明威	上海译文出版社	2006-8	342	2018-12-27	NA	NA	8.2	NA	1	1	2020-01-24
9787530212653	20483356	NA	张爱玲小说集	NA	NA	张爱玲	北京出版社出版集团,北京十月文艺出版社	2012-6-1	1589	2018-12-27	NA	NA	9.3	NA	1	1	2020-01-24
9787801739308	3863494	NA	季羡林读书与做人	纪念珍藏版	NA	季羡林	国际文化出版公司	2009年7月	328	2018-11-05	NA	NA	7.9	NA	1	1	2020-01-24
9787541147531	30278270	NA	日食记	用自己喜欢的方式吃一生	NA	姜老刀	四川文艺出版社	2018-8	248	2018-11-05	2018-11-15	2018-11-16	7.3	7	1	1	2020-01-24
9787101072549	4912738	NA	黄帝内经	NA	NA	姚春鹏 注释	中华书局	2010-6	1471	2018-10-31	NA	NA	9.1	NA	1	1	2020-01-24
9787532955732	27607125	NA	生活需要仪式感	NA	NA	李思圆	山东文艺出版社	2017-12	320	2018-10-31	NA	NA	5	NA	1	1	2020-01-24
9787532777914	30183051	NA	鱼翅与花椒	NA	Shark’s Fin and Sichuan Pepper	[英]扶霞·邓洛普	上海译文出版社	2018-7	265	2018-10-31	NA	NA	8.3	NA	1	1	2020-01-24
9787540488079	30280610	NA	天长地久	给美君的信	天長地久：給美君的信	龙应台	湖南文艺出版社	2018-8-1	304	2018-10-31	NA	NA	8.6	NA	1	1	2020-01-24
9787559623096	30314033	NA	无所畏	NA	NA	冯唐	北京联合出版公司	2018-9	256	2018-10-31	NA	NA	7	NA	1	1	2020-01-24
9787544277617	26374532	NA	霍乱时期的爱情	2015年修订版	El Amor En Los Tiempos Del Colera	[哥伦比亚] 加西亚·马尔克斯	南海出版公司	2015-6	402	2018-10-31	NA	NA	8.9	NA	1	1	2020-01-24
9787559407764	27091211	NA	罗生门	NA	羅生門	[日]芥川龙之介	江苏凤凰文艺出版社	2017-8	256	2018-10-31	NA	NA	8.5	NA	1	1	2020-01-24
9787020118137	30272317	NA	不三	短歌集	NA	冯唐	人民文学出版社	2018-9	NA	2018-10-31	NA	NA	6.2	NA	1	1	2020-01-24
9787807682615	30344312	NA	有斐：男士基本款	NA	NA	杜绍斐	生活·读书·新知三联书店丨生活书店出版有限公司	2018-10-15	172	2018-10-31	NA	NA	6.7	NA	1	1	2020-01-24
9787214067203	6426232	NA	本草纲目	中医养生治病的知识根基	NA	李时珍	凤凰出版传媒集团,江苏人民出版社	2011-4-1	730	2018-10-31	NA	NA	8.3	NA	1	1	2020-01-24
9787532752805	5414391	NA	寻路中国	从乡村到工厂的自驾之旅	Country Driving: A Journey Through China from Farm to Factory	[美] 彼得·海斯勒	上海译文出版社	2011-1	426	2018-10-31	NA	NA	9	NA	1	1	2020-01-24
9787532756728	7060185	NA	江城	NA	River Town	[美] 彼得·海斯勒	上海译文出版社	2012-1	446	2018-10-31	NA	NA	9	NA	1	1	2020-01-24
9787807639817	24749465	NA	断舍离	NA	新・片づけ術「断捨離」	山下英子	广西科学技术出版社	2013-7-30	192	2018-10-31	NA	NA	7.4	NA	1	1	2020-01-24
9787516634332	27119982	NA	风格的要素	托福，雅思，GRE考试必备参考书	Elements of Style	[美] 威廉·斯特伦克	北京联合出版公司	2017-12-1	122	2018-10-29	2018-10-30	2018-11-20	7.6	8	1	1	2020-01-24
9787549599226	27116287	NA	平如美棠	我俩的故事（第三版）	NA	饶平如	广西师范大学出版社	2017-10	360	2018-07-09	2018-09-15	2018-10-15	9.4	8	1	1	2020-01-24
9787513323369	27006320	NA	今日店休	93岁旧书店主写给生活的情书	NA	[日] 坂本健一	新星出版社	2017-6-1	176	2018-07-09	2018-07-09	2018-07-11	8.6	8	1	1	2020-01-24
9787544278843	26575679	NA	当我谈跑步时，我谈些什么（2015典藏版）	当我谈跑步时,我谈些什么	NA	（日）村上春树	南海出版公司	2015-9-1	200	2018-07-09	NA	NA	8.4	NA	1	1	2020-01-24
9787508648286	26319730	/cn/2018/09/war-of-medias	娱乐至死	NA	Amusing Ourselves to Death: Public Discourse in the Age of Show Business	[美] 尼尔·波兹曼	中信出版集团	2015-5	224	2018-07-09	2018-08-10	2018-08-27	8.5	9	1	1	2020-01-24
